DOW,Time,LocationDescription,Beat,District,Ward,CommunityArea,PrimaryType
3,19,19,2534,25,30,20,3
3,12,19,1021,10,24,29,9
4,16.5,168,513,5,34,49,4
4,6,19,621,6,17,71,8
4,16.08,159,224,2,3,38,30
4,15.65,159,224,2,3,38,19
3,16,151,211,2,2,35,9
4,16.15,155,935,9,3,37,25
1,14,122,132,1,2,33,33
4,16.92,17,224,2,3,38,3
4,16,156,234,2,4,41,2
4,17,143,113,1,42,32,8
4,15.5,139,1111,11,37,23,7
4,6.92,124,1634,16,38,15,7
4,16.78,159,2535,25,26,23,3
4,11,75,2533,25,37,25,33
3,19.83,159,814,8,23,56,3
4,14.5,159,1821,18,43,8,33
3,13.82,139,811,8,23,56,9
4,15,159,1115,11,28,26,30
4,17.75,155,2222,22,21,71,19
5,0,159,1235,12,25,31,7
4,15.35,19,1132,11,24,26,3
4,2,159,2533,25,37,25,33
4,16.5,159,932,9,16,61,18
4,16.15,139,823,8,13,65,3
2,15,139,734,7,17,67,6
4,17.75,175,825,8,15,66,3
2,10,19,825,8,15,66,33
4,15.83,19,614,6,21,71,7
4,14.62,139,1132,11,24,29,3
4,16.33,129,612,6,17,71,3
4,16.42,159,2523,25,30,21,2
4,15.75,95,1215,12,27,28,25
4,10,19,334,3,7,43,4
3,8.5,139,1231,12,2,28,33
4,2.5,124,632,6,6,44,3
3,6,139,934,9,3,61,3
4,18.03,159,811,8,23,56,33
4,1,159,133,1,3,35,33
1,18.23,124,1433,14,1,24,9
4,5.75,126,1432,14,32,22,7
4,11,159,1812,18,43,7,7
4,13.27,129,122,1,2,32,33
4,16.5,155,911,9,12,59,3
4,9,140,1214,12,27,24,4
4,15.75,155,1014,10,24,29,30
4,6,159,1111,11,28,23,33
4,18.17,161,612,6,17,71,25
4,14,139,1013,10,22,30,3
3,14.33,124,1031,10,22,30,9
4,18.08,159,1613,16,41,10,7
5,16.5,139,123,1,2,32,25
4,16.13,175,422,4,7,46,19
3,23,159,935,9,3,61,7
4,18.25,159,711,7,20,68,25
4,16.75,153,1524,15,37,25,16
4,16.83,143,1732,17,33,16,33
4,17.5,19,2012,20,40,77,3
3,22,159,2012,20,40,4,18
1,13.72,19,2032,20,47,3,33
4,17.75,159,2222,22,21,73,19
4,18.55,159,1522,15,29,25,25
4,17.6,175,825,8,15,66,3
4,19,139,212,2,4,35,7
4,15.5,159,2232,22,34,73,3
4,16.75,159,821,8,14,63,33
4,15.25,139,713,7,16,67,4
4,7,19,733,7,17,68,7
4,19.03,159,311,3,20,40,2
4,17.5,124,825,8,15,66,7
4,15,155,2232,22,34,73,3
4,18.28,75,1722,17,45,15,33
5,14,139,715,7,15,67,9
6,11,139,2212,22,19,72,7
3,15.83,155,1723,17,33,16,3
4,17.5,92,624,6,6,69,19
4,17.03,19,421,4,7,43,8
4,18.97,155,1225,12,2,28,19
4,11.93,142,431,4,7,51,2
4,17,96,1822,18,32,8,33
4,17.67,96,411,4,5,43,33
3,23.5,19,1713,17,39,14,25
2,23.5,139,623,6,17,69,4
4,16,155,2534,25,30,23,3
4,18,29,633,6,9,44,2
6,2,139,1711,17,39,12,33
3,10,139,1021,10,24,29,6
4,16.2,155,832,8,17,66,3
4,18.33,159,421,4,7,43,25
4,10,124,921,9,14,58,9
4,19.02,129,1522,15,29,25,19
4,19,140,2515,25,37,19,8
4,16.33,139,431,4,10,51,3
4,17.08,155,934,9,16,61,30
4,19.42,159,2533,25,37,25,19
4,19.42,155,533,5,9,54,2
4,18,139,911,9,12,58,7
4,14.5,139,915,9,11,60,4
4,18.67,155,733,7,17,68,34
4,19.02,127,1533,15,28,25,34
4,12.5,152,1233,12,2,28,3
4,15.5,156,333,3,5,43,7
4,15,139,1122,11,27,23,3
4,17.63,141,1011,10,24,29,3
4,15.58,159,1114,11,28,26,2
4,19.5,155,832,8,15,66,19
4,5.5,155,1122,11,28,26,30
2,19,159,1224,12,27,28,18
4,19.33,129,2234,22,34,75,19
4,18.58,159,1211,12,26,23,3
4,18.75,141,1831,18,42,8,3
4,19.45,127,2534,25,31,23,25
4,0.02,17,1513,15,29,25,31
4,19,127,1624,16,38,15,33
4,15.5,139,1512,15,29,25,8
3,17.5,124,1135,11,2,27,33
4,19.2,19,522,5,34,49,25
4,19.7,159,1115,11,28,26,19
4,0.02,159,1934,19,44,6,18
4,18.23,96,612,6,17,71,33
4,18.38,75,1834,18,42,8,33
4,16,19,1124,11,28,27,33
4,17.87,155,224,2,3,38,34
4,19.58,159,1633,16,38,15,34
4,19.17,159,1133,11,24,29,28
4,19.75,155,1121,11,27,23,19
4,19.83,70,111,1,42,32,8
4,18.25,124,431,4,7,51,30
4,19.75,19,421,4,7,43,3
4,10,19,421,4,7,43,7
4,19.92,64,412,4,8,45,7
1,9,155,1214,12,42,28,33
4,12,159,1922,19,32,6,18
4,20.58,159,1113,11,28,26,26
1,0.02,22,1824,18,42,8,9
3,1,103,1935,19,43,7,33
4,19.62,141,733,7,17,68,34
1,16.75,129,1432,14,1,22,3
4,19.33,159,731,7,6,69,7
4,19,139,422,4,7,46,33
4,20.33,159,513,5,9,49,19
4,19.55,139,733,7,17,68,2
4,20.2,155,624,6,8,44,19
4,4.5,169,1722,17,39,14,33
4,20.42,139,731,7,17,69,7
4,12.17,129,1834,18,42,8,33
4,20,143,225,2,3,40,7
4,19.33,129,726,7,15,67,33
4,18,159,1434,14,32,24,33
4,18.7,75,2515,25,30,19,33
4,20.83,155,1913,19,46,3,19
4,15,19,2515,25,30,19,2
4,17,152,1424,14,1,24,33
4,15,75,2521,25,31,20,33
4,18.42,127,2533,25,37,25,3
4,13.5,19,2523,25,31,21,4
4,18.75,156,2522,25,31,19,30
4,21,139,1513,15,29,25,7
2,20,19,631,6,8,44,4
4,20.95,159,1113,11,28,26,19
4,21,155,631,6,8,44,3
4,18.43,139,512,5,9,49,19
4,19,159,222,2,4,39,3
4,20.75,155,1033,10,12,30,19
4,20.28,19,2413,24,50,2,8
4,21.17,155,1533,15,24,25,19
4,21.25,127,1731,17,30,16,8
4,19.67,139,734,7,17,67,3
3,0.02,139,334,3,7,43,9
4,13,124,414,4,8,46,33
4,20.67,155,1712,17,39,13,30
4,18.73,75,2515,25,30,19,33
4,12.5,155,214,2,4,38,3
4,20.65,17,232,2,20,40,28
4,3.5,139,613,6,21,71,3
4,18.93,19,214,2,4,38,3
4,20.07,159,331,3,5,43,18
4,16.03,17,624,6,8,44,7
4,20.5,19,311,3,20,40,2
4,20.17,155,331,3,5,43,30
4,20.28,155,732,7,17,68,19
4,21.1,92,1132,11,24,26,19
4,16.17,129,222,2,4,39,3
4,19.1,175,225,2,3,37,3
4,19.33,159,333,3,5,43,19
1,23.4,159,1131,11,24,25,12
4,16.75,19,215,2,3,38,33
4,14,159,1023,10,28,29,25
4,20.5,159,823,8,15,66,3
2,16.17,96,223,2,4,38,2
4,21.33,155,735,7,17,67,19
4,16,19,923,9,14,63,3
4,16.17,129,222,2,4,39,33
4,20,155,1533,15,24,25,30
4,17.72,19,621,6,17,71,2
4,21.13,155,1532,15,28,25,19
4,17,129,513,5,9,49,3
4,20.5,103,411,4,8,45,30
4,22.02,155,1532,15,28,25,19
4,21.67,159,1113,11,28,25,26
4,21.23,96,1722,17,45,15,3
4,20.7,17,1121,11,27,23,3
4,20.3,155,1633,16,38,17,19
4,21.45,124,1913,19,46,3,33
4,18.85,159,1814,18,43,7,28
4,18.38,159,1233,12,2,28,3
4,20.75,19,1225,12,2,28,3
2,8.33,21,314,3,20,42,33
4,21.5,159,434,4,10,51,7
4,21,159,1222,12,28,27,18
4,22.25,155,1533,15,24,25,19
4,18,122,2233,22,34,49,33
4,19.25,159,624,6,6,44,9
4,5.5,159,813,8,23,56,18
3,11,139,2232,22,34,73,3
4,20.85,159,523,5,9,53,19
4,19.92,156,1833,18,42,8,9
4,20.77,159,921,9,14,58,19
2,9,139,512,5,9,49,7
4,21.33,17,824,8,16,63,19
4,21.68,139,422,4,7,46,28
4,14,152,1532,15,28,25,3
6,14.5,139,1623,16,45,15,4
4,21.5,143,511,5,9,49,9
4,18,139,1712,17,39,14,7
5,15,153,1634,16,38,15,3
4,17.75,159,1623,16,45,15,3
1,7.33,124,1624,16,45,15,2
4,20.5,96,2422,24,49,1,33
4,16.42,143,1621,16,45,12,33
4,21.3,175,2413,24,50,2,19
4,21.43,141,312,3,20,42,31
4,22.25,159,422,4,7,46,28
4,20.12,17,2532,25,37,25,19
4,20.25,17,1622,16,45,11,7
4,21.72,159,734,7,17,67,19
4,21.18,141,1023,10,12,30,8
4,22.23,19,1634,16,38,15,8
4,21.55,155,1224,12,27,28,30
4,22.15,156,1732,17,35,21,2
4,21.22,159,935,9,3,61,8
4,21.5,155,312,3,20,69,19
5,17.5,139,523,5,9,53,25
7,5.95,139,513,5,34,49,25
4,22.38,159,1524,15,37,25,19
3,21.02,139,412,4,8,45,25
4,17.9,155,523,5,9,53,30
1,22.5,139,922,9,12,58,33
4,19.42,59,825,8,15,66,9
4,15.25,139,632,6,6,44,4
4,21.58,143,1914,19,46,3,9
2,23.83,155,1915,19,46,3,3
4,22.32,143,1712,17,39,14,2
3,21.33,155,1931,19,32,5,3
4,22,139,522,5,34,53,7
4,22.75,139,524,5,34,53,3
4,22.9,59,414,4,8,43,7
4,23,139,725,7,15,67,7
4,22.5,19,212,2,4,35,3
4,22.62,155,2531,25,29,25,2
4,22,142,1513,15,29,25,3
4,21,155,1221,12,1,24,3
4,22.45,96,1931,19,32,6,33
4,22,141,1113,11,28,26,19
4,19.45,155,612,6,21,71,33
4,10,139,924,9,3,61,25
5,20,139,533,5,9,54,3
4,16,159,811,8,23,56,7
4,22.88,159,2521,25,31,19,26
4,22,129,2413,24,50,2,18
4,22.5,19,722,7,20,68,3
4,21,159,612,6,17,71,33
4,23.83,19,2523,25,35,21,3
4,22.92,159,835,8,18,66,25
4,22.02,129,814,8,23,56,3
4,22.7,159,1033,10,12,30,28
4,16.5,129,924,9,12,61,33
4,22,159,1832,18,42,8,33
3,21.75,155,725,7,17,67,30
4,21.5,19,1111,11,37,23,19
5,0.08,155,1432,14,32,22,3
5,0.25,159,623,6,17,69,3
5,1.5,96,1414,14,35,22,7
4,11.5,19,324,3,5,69,3
5,0.5,175,222,2,4,39,30
5,1.5,163,1532,15,28,25,9
4,23.17,19,313,3,20,42,3
4,23.5,75,1833,18,42,8,8
5,1.33,19,322,3,6,69,3
5,21,19,235,2,5,41,3
5,2.02,19,1522,15,29,25,3
4,17.33,64,533,5,9,54,3
4,4.75,103,834,8,18,70,3
5,1.33,96,1424,14,1,24,9
5,0.92,175,222,2,4,39,30
5,2.13,19,1531,15,37,25,3
5,0.82,159,1131,11,24,25,19
5,2.25,143,833,8,13,65,9
5,1.33,27,1212,12,1,24,33
5,1,19,523,5,34,53,2
5,1.42,155,433,4,10,55,30
5,1.12,159,2521,25,31,19,19
5,0.75,159,2515,25,37,19,19
5,1.5,19,314,3,20,42,7
5,2.75,124,924,9,12,61,30
5,2,159,1112,11,27,23,7
5,2.68,58,1121,11,27,23,7
5,1.4,155,1022,10,24,29,19
5,1.13,159,1113,11,28,26,19
5,2.57,159,1421,14,26,23,3
2,16,19,312,3,20,69,7
5,1,159,414,4,8,43,30
4,21.5,159,1512,15,29,25,30
5,2.38,159,1115,11,28,26,28
5,3.33,19,2533,25,37,25,3
5,2.37,143,2523,25,30,21,7
6,0.02,124,1411,14,33,21,9
5,0.33,155,1123,11,28,27,3
5,2.95,139,825,8,15,66,7
4,19.5,19,212,2,4,36,3
