Date,Time,LocationDescription,Beat,District,Ward,CommunityArea,PrimaryType
03/16/2015 09:00:00 AM,,124,633,6,8,44,9
03/19/2015 06:00:00 AM,,124,124,1,2,28,6
03/19/2015 11:10:00 AM,,152,1812,18,43,7,3
01/20/2015 06:10:00 PM,,16,813,8,23,56,19
03/19/2015 09:20:00 AM,,152,1612,16,41,10,3
03/19/2015 10:30:00 AM,,19,1115,11,28,26,19
03/19/2015 10:38:00 AM,,156,124,1,2,28,33
03/19/2015 12:15:00 PM,,139,1724,17,33,16,3
03/19/2015 12:22:00 PM,,17,1121,11,27,23,19
03/19/2015 12:20:00 PM,,92,1533,15,28,25,19
01/30/2015 11:50:18 AM,,139,331,3,5,43,19
03/16/2015 07:00:00 AM,,159,1813,18,43,7,33
03/12/2015 06:30:00 PM,,159,232,2,20,40,7
03/18/2015 10:00:00 AM,,159,1532,15,28,25,18
03/19/2015 11:40:00 AM,,139,1031,10,22,30,3
03/19/2015 12:42:00 PM,,155,1533,15,28,25,19
03/18/2015 01:00:00 AM,,159,1713,17,39,14,7
03/19/2015 05:00:00 AM,,159,2515,25,30,19,30
03/17/2015 10:00:00 AM,,139,2423,24,49,1,9
02/03/2015 03:38:00 PM,,155,1112,11,27,23,19
02/27/2015 09:00:00 AM,,139,2233,22,34,49,9
03/19/2015 12:20:00 PM,,152,314,3,5,42,3
01/11/2015 10:00:00 AM,,168,1432,14,32,22,33
03/18/2015 06:20:00 PM,,140,912,9,11,59,4
03/19/2015 12:30:00 PM,,143,113,1,42,32,8
03/19/2015 09:30:00 AM,,19,931,9,16,61,3
03/19/2015 07:00:00 AM,,49,1423,14,26,24,7
03/19/2015 01:00:00 AM,,27,1832,18,42,8,3
03/19/2015 12:00:00 PM,,139,414,4,8,43,4
03/19/2015 12:27:00 PM,,19,1121,11,27,23,2
03/19/2015 09:30:00 AM,,139,1632,16,36,17,3
02/16/2015 06:45:00 AM,,159,1133,11,24,27,33
03/18/2015 07:00:00 AM,,159,1134,11,28,27,7
03/19/2015 11:35:00 AM,,19,733,7,17,68,7
