Time,LocationDescription,Beat,District,Ward,CommunityArea,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,PrimaryType
7,139,831,8,18,66,0,0,0,0,1,0,0,3
8,139,1135,11,2,27,0,1,0,0,0,0,0,31
9.5,152,211,2,2,35,0,0,0,0,1,0,0,3
10.33,159,1115,11,28,26,0,0,0,0,0,0,1,7
11,124,1834,18,42,8,0,0,0,0,1,0,0,8
12,153,211,2,2,35,0,0,0,0,0,0,1,3
10.92,155,1511,15,29,25,0,0,0,0,1,0,0,3
12,124,1533,15,28,25,0,0,0,0,1,0,0,33
9,124,1834,18,42,8,1,0,0,0,0,0,0,9
11.07,17,2531,25,29,25,0,0,0,0,1,0,0,19
15.38,139,2533,25,37,25,0,0,0,0,0,0,1,9
14.5,124,2212,22,34,75,0,0,0,0,0,0,1,9
10,159,532,5,9,53,0,0,0,0,1,0,0,3
15,19,1115,11,28,26,0,0,0,1,0,0,0,9
11.33,155,1122,11,28,26,0,0,0,0,1,0,0,19
23.83,159,523,5,34,53,0,0,0,0,0,0,1,7
6.5,159,2013,20,48,77,0,0,0,0,0,0,1,2
9.75,139,511,5,9,49,0,0,0,0,1,0,0,7
11,152,423,4,7,46,0,1,0,0,0,0,0,3
16.67,155,423,4,7,46,0,0,0,0,0,0,1,3
9.83,139,511,5,9,49,0,0,0,0,1,0,0,7
21,0,1533,15,24,25,0,0,0,0,0,1,0,9
17.83,156,1432,14,1,22,1,0,0,0,0,0,0,33
9,152,2525,25,35,22,0,0,0,0,0,1,0,3
8,140,2525,25,30,22,0,0,0,0,1,0,0,4
3.5,159,2525,25,30,20,0,0,0,0,1,0,0,7
14,139,1711,17,50,13,0,0,0,0,0,0,1,4
15,19,314,3,20,42,0,0,1,0,0,0,0,33
14.5,150,713,7,15,67,0,0,0,0,0,0,1,33
10.25,19,2534,25,37,23,0,0,0,0,1,0,0,28
11.25,159,311,3,20,40,0,0,0,0,1,0,0,25
16.5,64,932,9,16,61,0,0,0,0,0,0,1,33
1,27,1924,19,44,6,0,0,1,0,0,0,0,33
8.5,139,2234,22,34,75,0,0,0,0,1,0,0,25
9.85,142,713,7,16,67,0,0,0,0,1,0,0,33
